Ratings,Reviews
5.0,"The ambiance here is perfect. I love the garden patio - it feels so magical especially at night when they turn on the string lights and candles. Food was decent too. I ordered the Dijon crusted pork cheeks and baked Mac & Cheese and really liked both. It's a bit on the pricey side, but the ambiance more than makes up for it. Overall a solid place for dinner for me and my friends."
5.0,Perfect  wow! What a wonderful experience! Great food and service! The menu is great and the outdoor patio is heavenThe beet salad is very tasty- if you are questioning adding the chicken- easy yes. Seasoned perfectly The chocolate mouse with homemade whipped cream and  touch of smoky salt is worth every calorie
5.0,"Such a cute spot!Went here for lunch on a Friday - we booked some tables via the Yelp site an hour before driving over (highly recommend making a reservation as they do book up fast). They have their brunch menu available until 3 on weekdays.The outdoor patio is so cute! A breath of fresh air in the city (quite literally). We got the fried chicken sandwich with a side of fries and it was wonderful (with a sweet brioche bun)Staff are extremely friendly and helpful, an overall pleasant atmosphere. Would highly recommend coming here!"
3.0,"Fable was alright in my opinion. The vegan lasagna was good! However, definitely go here expecting to shell out some cash for only slightly above average good. The portions are also really small in my opinion. We also weren't seated in a great spot despite making reservations beforehand, we were right by the entrance of the backyard patio area but not inside it really. You're paying mostly for the ambiance here, which is fine! Just go for the pics, eat some pretty good food, and drop more than an average amount of cash. I hear their brunch is better though!"
4.0,"We came here for brunch and on the outside, it looked just okay and the menu was pretty limited and prices were a little high BUT I was pleasantly surprised on how nice it was in the patio. The ambiance is great. I love the pretty plants and the arrangement of the patio. We made reservation for 2:15pm on Saturday in advance. When we came and checked in at 2:15pm, we were told that the kitchen would be closing in 10 minutes. I was taken aback. Why would they offer reservations all the way up to 3pm but not inform their customers that kitchen won't be open. Why would I make reservation for a limited drink menu? I thought that was bad on their part. Be clear with their reservation times and what they could offer at those hours; otherwise, don't allow us to make reservation if you can't serve us food. Anyway, everything worked out. We were able to get our food. The staff was also very friendly. The food was good. It's not amazing but it's solid. I got the fried chicken sandwich and I thoroughly enjoyed my meal. The seasonal mimosa was also good. Overall, it was a nice experience despite the small hiccup."
5.0,"I've loved Fable forever! Their food and staff is just so amazing! I've tried a lot of their food, but their vegan squash lasagna is particularly delicious. I tried it on a whim, and now I get it all the time. I love what the squash brings to the lasagna. And of course, you have to have their chocolate mousse to finish everything off. It's perfectly light and chocolatey and satisfying after such a wonderful meal.I often order from different restaurants on Hyperflyer because you can order directly from the restaurant without all the extra fees of other sites, and I just saw that Fable has been added! I'm going to celebrate by ordering and picking it up for dinner tonight."
4.0,"Let me start by saying the outside patio atmosphere and service is 5/5. The downside of here is the lack of options. The menu is very limited. Especially for someone with dietary needs. As a vegan I really only had the vegan lasagna which was okay. Too heavy on the vegan cheese for my liking. My friend ordered the tuna appetizer and said it was good, but wished the menu had less pork options since she doesn't eat that. Overall we enjoyed our wine, the atmosphere, and the the okay food."
5.0,"This place was so cute!!! If you're in the Castro district and want to dine somewhere romantic, this is your spot! No joke, this place is by far magical. From the food to the ambiance, this place is perfect. Staff is super friendly. Making reservations through Open Table app, I highly suggest it. This place does get busy and if you have no reservations, you're likely not to be seated as there's limited seating.Came here 'cause I was browsing locations for a romantic/or fun restaurant and this poppes up on search results. Later that day upon searching, my Tik Tok app had a video that showed Fable, the restaurant. Instantly, I knew I had to book a dining experience here. My plus one and I enjoyed our evening with great conversation and laughter while eating delicious food. This place is perfect during coronavirus times. Outdoor seating woth lovely plants all around.For starters, we had the macaroni and cheese. Simply devine! Crusted cheese with light breading, it was way too good. I had a seasoned chicken breast over mash potatoes and greens. Flavor to thr max and not dry, as I was a bit worries before ordering. Nope, it met my expectations. My date had a hamburger that looked ravishing. Portion size was good, he had no complaints."
3.0,"I really wanted to like Fable. Maybe it was because we came for drinks and dinner instead of brunch, but our experience, and service, were rather mediocre. Vegan lasagna and fries were tasty but expensive for the portions, and wine was ok but nothing spectacular. The patio in Fable is beautiful, although sadly we didn't get to see much of it since we were seated next to the door and the beverages.Brunch experiences seem to be better so maybe come then if you're itching for a visit."
4.0,"FLAVOR (3.5/5): Tried their fried chicken sandwich and it wasn't anything spectacular! As all of Bay Area is coming out with their own fried chicken sandwiches, I didn't find this one competitive at all. Their sweet potato chips, also were more rubbery than crispy. INSTAGRAM WORTHY (5/5): The outdoor patio in the back is breathtaking with all the plants you are surrounded by. It's like eating in a jungle but with heat lamps! Appreciate all the decor to make your dining experience worth while. SERVICE (4/5): Friendly staff, did check ins with us but left us alone for the most part which I appreciate! We didn't have a reservation but they still took the chance to give us a table right away. TAKEAWAYS: I find their menu for lunch super limited, a little too picked over in my opinion. Not only that, but their prices are on the steeper end. You're paying double for a ""fancier"" version of what you'll get at an equally tasty place perhaps 15 miles away. Would come back for the ambiance but not the food."
